URL,Image Source,Alt Text,Price
/product/patrick-ta-major-headlines-precision-lip-crayon-P458749?skuId=2363810&amp;icid2=products grid:p458749:product,https://www.sephora.com/productimages/sku/s2363810-main-zoom.jpg?imwidth=175,PATRICK TA - Major Headlines Precision Lip Crayon,26.0
/product/ultra-shine-lip-color-P429018?skuId=2756203&amp;icid2=products grid:p429018:product,https://www.sephora.com/productimages/sku/s2756203-main-zoom.jpg?imwidth=175,TOM FORD - Ultra Shine Lip Color,62.0
/product/westman-atelier-mini-petite-baby-cheeks-lip-cheek-cream-blush-stick-P506281?skuId=2764017&amp;icid2=products grid:p506281:product,https://www.sephora.com/productimages/sku/s2764017-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,Westman Atelier - Mini Petite Baby Cheeks Lip + Cheek Cream Blush Stick,26.0
/product/rouge-artist-for-ever-matte-24hr-longwear-liquid-lipstick-P500992?skuId=2714251&amp;icid2=products grid:p500992:product,https://www.sephora.com/productimages/sku/s2714251-main-zoom.jpg?imwidth=175,MAKE UP FOR EVER - Rouge Artist For Ever Matte 24HR Longwear Liquid Lipstick,28.0
/product/kaja-jelly-charm-lip-blush-glazed-stain-with-keychain-P504365?skuId=2646545&amp;icid2=products grid:p504365:product,https://www.sephora.com/productimages/sku/s2646545-main-zoom.jpg?imwidth=175,Kaja - Jelly Charm Glazed Lip Stain &amp; Blush With Keychain,25.0
/product/petal-soft-lip-crayon-P501504?skuId=2306959&amp;icid2=products grid:p501504:product,https://www.sephora.com/productimages/sku/s2306959-main-zoom.jpg?imwidth=175,Laura Mercier - Petal Soft Lipstick Crayon,35.0
/product/pat-mcgrath-labs-liquidlust-legendary-wear-matte-lipstick-P468398?skuId=2458800&amp;icid2=products grid:p468398:product,https://www.sephora.com/productimages/sku/s2458800-main-zoom.jpg?imwidth=175,PAT McGRATH LABS - LiquiLUST™: Legendary Wear Matte Lipstick,34.0
/product/tatcha-the-kissu-lip-tint-spf-25-hydrating-tinted-lip-sunscreen-P510516?skuId=2762177&amp;icid2=products grid:p510516:product,https://www.sephora.com/productimages/sku/s2762177-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,Tatcha - The Kissu Lip Tint SPF 25 Hydrating Tinted Lip Sunscreen,34.0
/product/fashion-fair-iconic-lipstick-P476493?skuId=2476448&amp;icid2=products grid:p476493:product,https://www.sephora.com/productimages/sku/s2476448-main-zoom.jpg?imwidth=175,Fashion Fair - Iconic Lipstick,29.0
/product/power-bullet-matte-lipstick-P450511?skuId=2198661&amp;icid2=products grid:p450511:product,https://www.sephora.com/productimages/sku/s2198661-main-zoom.jpg?imwidth=175,HUDA BEAUTY - Power Bullet Matte Lipstick - Throwback Collection,27.0
